fervently [sound:fervently.mp3], fervientemente
sightseeing [sound:sightseeing.mp3], turismo
call up [sound:call.mp3] [sound:up.mp3], llamar
ballroom [sound:ballroom.mp3], salón de baile
lookout point [sound:lookout.mp3] [sound:point.mp3], mirador
watering hole [sound:watering.mp3] [sound:hole.mp3], abrevadero
herds [sound:herds.mp3], manadas
too keen, demasiado entusiasta
getting ripped off [sound:getting.mp3] [sound:ripped.mp3] [sound:off.mp3], ser estafado
so on [sound:so.mp3] [sound:on.mp3], y así sucesivamente
be well [sound:be.mp3] [sound:well.mp3], estar bien
shape [sound:shape.mp3], forma
creeper [sound:creeper.mp3], trepador
vines [sound:vines.mp3], enredaderas
come out [sound:come.mp3] [sound:out.mp3], salir
fend off [sound:fend.mp3] [sound:off.mp3], apartar
brambles [sound:brambles.mp3], zarzas
prickles [sound:prickles.mp3], espinas
tow [sound:tow.mp3], remolcar
rope [sound:rope.mp3], cuerda
tiles [sound:tiles.mp3], azulejos
set back down again [sound:set.mp3] [sound:back.mp3] [sound:down.mp3] [sound:again.mp3], colocar de nuevo
putting it in gear [sound:putting.mp3] [sound:it.mp3] [sound:in.mp3] [sound:gear.mp3], ponerlo en marcha
strap [sound:strap.mp3], correa
brakes [sound:brakes.mp3], frenos
shooting off down [sound:shooting.mp3] [sound:off.mp3] [sound:down.mp3], salir disparado
flat land [sound:flat.mp3] [sound:land.mp3], terreno plano
towed [sound:towed.mp3], remolcado
bushes [sound:bushes.mp3], arbustos
wisest [sound:wisest.mp3], sabio
chivalrous [sound:chivalrous.mp3], caballeroso
bride [sound:bride.mp3], novia
huge [sound:huge.mp3], enorme
wielding [sound:wielding.mp3], empuñando
club [sound:club.mp3], porra
jeered [sound:jeered.mp3], burlado
fellow [sound:fellow.mp3], compañero
dirt [sound:dirt.mp3], suciedad
beat [sound:beat.mp3], golpear
grim [sound:grim.mp3], sombrío
humbled [sound:humbled.mp3], humillado
knelt [sound:knelt.mp3], arrodillado
begged [sound:begged.mp3], suplicado
ransom [sound:ransom.mp3], rescate
riddle [sound:riddle.mp3], acertijo
fate [sound:fate.mp3], destino
bent [sound:bent.mp3], doblado
cloaked [sound:cloaked.mp3], cubierto
aside [sound:aside.mp3], a un lado
glimpse [sound:glimpse.mp3], vistazo
hideous [sound:hideous.mp3], horrendo
looked upon [sound:looked.mp3] [sound:upon.mp3], observado
sores [sound:sores.mp3], llagas
teeth rotting [sound:teeth.mp3] [sound:rotting.mp3], dientes pudriéndose
gums [sound:gums.mp3], encías
beckoned [sound:beckoned.mp3], hizo señas
leaned [sound:leaned.mp3], inclinado
stinking breath [sound:stinking.mp3] [sound:breath.mp3], aliento maloliente
relief [sound:relief.mp3], alivio
curses [sound:curses.mp3], maldiciones
flung down [sound:flung.mp3] [sound:down.mp3], arrojado al suelo
strode away [sound:strode.mp3] [sound:away.mp3], se alejó con grandes zancadas
filthy [sound:filthy.mp3], sucio
tangled [sound:tangled.mp3], enredado
bald [sound:bald.mp3], calvo
patches [sound:patches.mp3], parches
dribbling [sound:dribbling.mp3], baboseando
warty [sound:warty.mp3], verrugoso
stumps [sound:stumps.mp3], muñones
belched [sound:belched.mp3], eructó
dozen [sound:dozen.mp3], docena
nostrils [sound:nostrils.mp3], fosas nasales
freed [sound:freed.mp3], liberado
upon me [sound:upon.mp3], sobre mí